,Store Name,Address,Zip,New status,Last updated,Location
51,Carniceria La Hacienda,2744 W 55th St,60632,OPEN,06/04/2020 03:00:00 PM,POINT (-87.693138 41.793733)
52,Carniceria Jimenez,4204 W North Ave,60639,OPEN,06/03/2020 09:30:00 PM,POINT (-87.73185 41.909879)
53,Pete's Fresh Market,2333 W Madison St.,60612,OPEN,06/04/2020 03:00:00 PM,POINT (-87.68456 41.881155)
54,Target,6422 N Sheridan Rd Unit A,60626,OPEN,06/05/2020 01:21:00 PM,POINT (-87.660677 41.998785)
55,Jewel - Osco,370 N Desplaines St,60661,OPEN,06/03/2020 05:00:00 PM,POINT (-87.644337 41.888757)
56,Walmart,2844 N Broadway St,60657,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.644278 41.934267000000006)
57,Trader Joe's,3745 N LINCOLN AVE,60613,OPEN,06/10/2020 12:00:00 AM,POINT (-87.675803 41.949969)
58,Cermak Produce,3435 S Archer,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.676229 41.831333)
59,Aldi,7345 S State St,60619,OPEN,06/05/2020 01:21:00 PM,POINT (-87.624864 41.760589)
60,Target,1 S State St,60603,OPEN,06/05/2020 01:21:00 PM,POINT (-87.62773100000001 41.881754)
61,Fresh Marketplace,2600 N Central Ave,60639,OPEN,06/04/2020 03:00:00 PM,POINT (-87.766131 41.928447)
62,Mario's Butcher Shop,5817 W Madison St,60644,OPEN,06/04/2020 03:00:00 PM,POINT (-87.770457 41.880104)
63,Super Mercado Roman,6978 N CLARK ST,60626,OPEN,06/10/2020 12:00:00 AM,POINT (-87.673898 42.008677)
64,County Fair Foods,10800 S Western Avenue,60643,OPEN,06/04/2020 03:00:00 PM,POINT (-87.6814 41.69714900000001)
65,Aldi,7627 S Ashland Ave,60620,OPEN,06/05/2020 01:21:00 PM,POINT (-87.663497 41.75482)
66,Aldi,2333 E 95th St,60617,OPEN,06/05/2020 01:21:00 PM,POINT (-87.566623 41.722569)
